IID,array,job,start,creative,adj_pgs,sexMale,job_sat
1190473,2,"residential manager, day care manager, nursing home manager, retirement home manager, convalescent home manager",1994,-1,-0.6442710050065055,0,4
1190872,2,"medical doctor, general practitioner, hospital consultant",1987,-1,-0.998220018559701,1,3
1191137,2,"sports centre manager, riding school owner, sports ground manager, baths manager",1984,0,1.1127539132110071,1,2
1192818,2,"ict or it manager, systems/data processing manager, telecom manager",2003,1,-1.761955281265213,1,3
1192913,0,"mechanical engineer, automobile engineer, aeronautical engineer, locomotive or marine engineer, welding engineer",1968,0,1.0244601492379553,1,3
1194467,3,"paramedic, ambulance paramedic {32133075_3071}",1980,0,1.5110331420004113,1,5
1194561,3,secondary school teacher or teaching professional (including head teacher),1989,1,-1.0214072016585236,0,3
1196027,1,"chartered/certified accountant, auditor, company accountant, articled/audit clerk, official receiver",1989,0,1.0044469792067434,1,3
1196372,8,"other teaching professional including private tutor, tefl (teaching english as a foreign language) teacher; tutor at adult education centre, etc.",2005,1,-0.7395104409464457,0,4
1196475,1,"chartered/certified accountant, auditor, company accountant, articled/audit clerk, official receiver",2005,0,-0.14448565382117046,1,3
1196671,0,"medical doctor, general practitioner, hospital consultant",1978,-1,-0.04426556932705148,1,4
1197263,1,"rehabilitation unit manager, children's home manager",1978,1,-0.6109023377581585,0,3
1198591,0,"senior officer in fire service including captain, commander, controller, firemaster, inspector, salvage officer, station officer, superintendent",1984,0,1.09834850966584,1,3
1199009,8,"carpenter, carpenter and joiner, builder's joiner {53152546_2538}",2000,-1,0.4612563507930982,1,3
1199703,7,"general office assistant/clerk, clerical officer, clerk-typist, office supervisor, press/newspaper corrector/reader",2007,0,-1.0489609785520737,0,3
1200779,0,"ict or it manager, systems/data processing manager, telecom manager",1970,1,-1.6128118671504297,1,3
1201040,1,plasterer,1979,-1,1.046800515316057,1,0
1202330,2,physiotherapist,1992,0,-0.8863320604129982,0,3
1202632,4,"other teaching professional including private tutor, tefl (teaching english as a foreign language) teacher; tutor at adult education centre, etc.",1998,1,0.5169597808180733,0,4
1202717,0,"medical doctor, general practitioner, hospital consultant",1985,-1,1.0124140261916204,0,3
1205011,5,"ambulance staff (not paramedic), ambulance driver, ambulance technician",2004,0,1.4642449213615911,1,3
1206260,2,"van driver, delivery driver, courier driver",1997,-1,-0.5052120257554835,1,4
1206996,1,"financial controller, accounting/audit technician, trust officer",1992,0,-0.07407900640306546,0,4
1207768,4,"buyer, purchasing/procurement officer, supply officer",1996,0,-1.1558226389120223,1,3
1208772,8,"hospital manager, health service manager, clinical manager, nursing service manager",2001,0,-0.31089345978908506,0,4
1209322,2,"journalist, reporter, newspaper correspondent, sports writer, newspaper or magazine editor",2002,1,-0.9369226680214532,1,3
1209438,2,mathematician,1985,0,-0.43317353409904424,0,3
1209749,0,"nurse (of any kind, at any level)",1968,-1,-0.39590142262108713,0,3
1209969,1,"financial controller, accounting/audit technician, trust officer",2002,0,0.48394514153857554,1,4
1211721,1,"director or chief executive of private organisation/company, company chairman or president, general manager",2001,0,0.9397413188168472,1,4
1212689,3,"medical technician, audiologist, cardiographer, prosthesist, ecg technician, eeg technician",1989,0,-0.7543858193702015,0,3
1213239,2,"ict or it manager, systems/data processing manager, telecom manager",2002,1,-1.1632461581228095,0,3
1213671,7,"it strategy or planning professional, computer consultant, software consultant",2009,1,-0.6629021806420239,1,2
1214527,1,"medical doctor, general practitioner, hospital consultant",1986,-1,0.7702008459021766,0,4
1215263,0,"retail or wholesale shop manager, showroom manager",1981,-1,-0.9567666480019206,1,3
1215312,0,secondary school teacher or teaching professional (including head teacher),1977,1,0.01143629637723527,1,4
1215845,1,secondary school teacher or teaching professional (including head teacher),1997,1,2.8987670185907604,0,4
1218414,2,"driving instructor, hgv instructor",2005,0,-1.190460508245998,1,3
1221179,2,school secretary,1992,0,1.3336997138260434,0,4
1221274,4,"it strategy or planning professional, computer consultant, software consultant",2004,1,-1.962849141842402,1,0
1222460,0,"officer of ngo, trade union organiser/official, charity administrator, secretary of research or charity or political or professional or trade association or trade union",1980,0,-0.21085672253980295,0,4
1223395,0,"bank manager, bank section manager, building society manager, post/sub-post office manager",1972,0,0.42505302270387474,1,4
1223703,2,"planning and quality control engineer, industrial engineer, quality engineer",1980,1,-0.8485169416329044,1,4
1224698,3,"childminder, au pair, children's nanny {61223417_3406}",2006,0,1.0561311098695998,0,3
1225068,0,"design and development engineer, ergonomist",1966,1,-0.01790615882454194,1,3
1225812,4,university research fellow or assistant/associate,1996,0,-0.8086982358663717,0,4
1227776,5,"nurse (of any kind, at any level)",2009,-1,1.2336431504977623,0,4
1228525,4,"gardener, groundsman/groundswoman, park keeper, landscape gardener, greenkeeper, turf cutter",2009,0,0.03046702305581192,1,4
1228928,2,"higher education teaching professional, university lecturer/professor (including college/university head/vice chancellor)",1983,1,0.1166007229943822,1,3
1228934,2,credit controller/supervisor {41213252_3249},1990,0,0.5535601546724559,0,4
1229116,3,"factory/works manager, shift manager",1999,-1,-0.8711038033900095,1,3
1229719,2,playgroup or playschool leader or assistant,1994,0,0.3304908679469103,0,3
1231738,0,occupational therapist,1986,0,0.11451923929027008,0,4
1233596,5,"school inspector, education inspector",1997,0,-1.4066192210810864,0,3
1233883,1,"hospital manager, health service manager, clinical manager, nursing service manager",2005,0,0.12438572834426743,0,4
1235218,1,university lecturer/professor,2002,0,0.43112738636284065,1,5
1237182,4,"gardener, groundsman/groundswoman, park keeper, landscape gardener, greenkeeper, turf cutter",2008,0,0.15620367441879432,0,4
1237340,3,"public service higher/senior executive officer, hospital administrator",2000,0,1.5356665715504836,0,3
1237893,2,"primary /junior school teacher or teaching professional, nursery school teacher (including head teacher)",1991,1,0.4097216236103866,1,4
1238257,0,"primary /junior school teacher or teaching professional, nursery school teacher (including head teacher)",1970,1,-1.4199541379354936,0,3
1240229,2,"retail/shop cashier, check-out operator, petrol station attendant, restaurant cashier",2003,-1,0.28071318916212445,0,3
1241247,6,"legal secretary, clerk, or aid clerk",2004,0,-1.1485754778980153,0,4
1242009,3,"quality assurance manager, quality control manager {11412694_2691}",1997,0,1.1594463255040883,1,4
1244635,2,"electronics engineer, broadcasting engineer, microwave engineer, radar engineer, radio engineer",1970,0,0.26341560406631986,1,3
1244719,1,"school secretary, clerical assistant, school registry assistant {42133423_3419}",1992,0,1.2582602810961792,0,3
1244738,1,"director or chief executive of private organisation/company, company chairman or president, general manager",1977,0,-0.0996787203518894,0,4
1246420,0,"general office assistant/clerk, clerical officer, clerk-typist, office supervisor, press/newspaper corrector/reader",1958,0,-0.2600089574476649,0,3
1246471,3,"community worker, day centre officer, youth leader, youth worker, parish worker, bail support officer",2003,0,-1.652916893280186,0,4
1246994,1,"management information officer, conference/events co-ordinator/organiser, exhibition officer, work study engineer/officer/analyst, contract adviser/agent, election agent, business system analyst",1990,0,1.8728234881001615,1,4
1247684,0,"medical doctor, general practitioner, hospital consultant",1976,-1,-1.076913816925414,1,4
1248061,1,"primary /junior school teacher or teaching professional, nursery school teacher (including head teacher)",2009,1,0.6023932092974469,0,3
1249231,0,"broker, financial/insurance broker, foreign exchange dealer, ship/marine broker, stockbroker, commodity trader {35323265_3263}",1976,0,-0.41003866976815057,1,1
